0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,4,0,0,0,0,0,0,0,0,0,0,
4,4,4,0,0,0,0,0,0,0,0,0,
0,4,0,0,3,3,0,0,0,0,0,0,
4,4,4,3,3,6,0,0,0,0,0,0,
0,0,7,0,0,6,0,0,0,0,0,0,
0,0,7,0,0,6,6,0,0,0,0,0,
0,0,7,7,7,0,4,0,0,0,3,3,
0,0,7,7,7,4,4,4,0,3,3,0,
6,6,6,7,7,6,6,6,2,6,0,0,
6,4,0,7,7,6,0,0,2,6,0,0,
4,4,7,4,4,4,0,2,2,6,6,0,
0,4,7,0,4,5,3,0,6,0,4,0,
0,5,7,7,5,5,3,3,6,4,4,4,
5,5,7,7,5,3,3,3,6,6,1,1,
5,5,6,7,3,3,0,5,5,5,1,1,
